iter	Passed	Remaining
480	6538	7054
481	6550	7040
482	6566	7028
483	6585	7020
484	6599	7007
485	6619	7000
486	6638	6992
487	6653	6980
488	6669	6969
489	6679	6951
490	6696	6941
491	6716	6935
492	6738	6929
493	6752	6916
494	6761	6898
495	6777	6886
496	6792	6874
497	6803	6858
498	6820	6847
499	6830	6830
500	6856	6829
501	6872	6817
502	6885	6803
503	6905	6795
504	6922	6785
505	6938	6773
506	6951	6759
507	6965	6745
508	6985	6738
509	7003	6729
510	7021	6718
511	7040	6710
512	7052	6694
513	7074	6689
514	7087	6674
515	7099	6658
516	7114	6646
517	7133	6637
518	7144	6621
519	7156	6606
520	7173	6595
521	7181	6576
522	7198	6565
523	7218	6556
524	7229	6541
525	7241	6525
526	7250	6507
527	7265	6494
528	7289	6489
529	7301	6475
530	7313	6459
531	7326	6444
532	7347	6437
533	7360	6423
534	7372	6408
535	7383	6391
536	7402	6382
537	7420	6372
538	7436	6360
539	7448	6344
540	7458	6328
541	7477	6318
542	7486	6300
543	7507	6293
544	7523	6281
545	7548	6276
546	7560	6261
547	7563	6238
548	7567	6216
549	7580	6202
550	7591	6186
551	7605	6172
552	7617	6157
553	7620	6135
554	7635	6122
555	7652	6110
556	7662	6094
557	7677	6081
558	7684	6062
559	7698	6049
560	7707	6031
561	7719	6015
562	7739	6007
563	7750	5991
564	7772	5983
565	7782	5967
566	7805	5960
567	7817	5945
568	7842	5940
569	7856	5926
570	7879	5920
571	7895	5907
572	7918	5901
573	7929	5885
574	7951	5877
575	7973	5869
576	7983	5852
577	7995	5837
578	8013	5826
579	8025	5811
580	8036	5795
581	8050	5782
582	8063	5767
583	8076	5752
584	8088	5737
585	8103	5725
586	8111	5706
587	8136	5700
588	8154	5689
589	8164	5673
590	8180	5661
591	8197	5649
592	8212	5636
593	8218	5617
594	8231	5602
595	8246	5589
596	8254	5572
597	8264	5556
598	8284	5545
599	8304	5536
600	8311	5518
601	8327	5505
602	8351	5498
603	8375	5491
604	8384	5473
605	8387	5452
606	8405	5442
607	8422	5429
608	8437	5417
609	8451	5403
610	8460	5386
611	8476	5374
612	8490	5360
613	8502	5345
614	8517	5331
615	8530	5317
616	8542	5302
617	8547	5283
618	8565	5271
619	8579	5258
620	8605	5251
621	8620	5238
622	8631	5223
623	8649	5211
624	8660	5196
625	8675	5183
626	8692	5171
627	8702	5154
628	8724	5145
629	8728	5126
630	8739	5110
631	8751	5095
632	8766	5082
633	8793	5076
634	8810	5064
635	8827	5052
636	8869	5054
637	8887	5042
638	8902	5029
639	8912	5013
640	8929	5000
641	8947	4989
642	8994	4993
643	9015	4983
644	9039	4975
645	9052	4960
646	9062	4944
647	9075	4929
648	9098	4920
649	9116	4909
650	9132	4895
651	9146	4881
652	9171	4873
653	9200	4867
654	9240	4867
655	9252	4851
656	9263	4836
657	9282	4824
658	9302	4813
659	9318	4800
660	9334	4787
661	9341	4769
662	9362	4758
663	9375	4744
664	9390	4730
665	9407	4717
666	9421	4703
667	9438	4690
668	9453	4677
669	9471	4665
670	9483	4649
671	9493	4633
672	9511	4621
673	9524	4606
674	9536	4591
675	9548	4576
676	9572	4566
677	9596	4557
678	9611	4544
679	9624	4529
680	9636	4513
681	9659	4504
682	9673	4489
683	9686	4474
684	9710	4465
685	9728	4452
686	9737	4436
687	9749	4421
688	9760	4405
689	9770	4389
690	9790	4377
691	9800	4362
692	9823	4351
693	9838	4337
694	9851	4323
695	9864	4308
696	9878	4294
697	9891	4279
698	9903	4264
699	9913	4248
700	9925	4233
701	9942	4220
702	9948	4203
703	9967	4190
704	9982	4177
705	9996	4162
706	10010	4148
707	10019	4132
708	10037	4119
709	10050	4105
710	10061	4089
711	10067	4072
712	10087	4060
713	10100	4045
714	10115	4032
715	10132	4019
716	10150	4006
717	10159	3990
718	10168	3973
719	10184	3960
720	10193	3944
721	10196	3926
722	10215	3913
723	10224	3897
724	10228	3879
725	10252	3869
726	10268	3855
727	10286	3843
728	10300	3829
729	10310	3813
730	10320	3797
731	10333	3783
732	10350	3770
733	10364	3756
