iter	RMSE
378	0.4207937508
379	0.4207194442
380	0.4206950522
381	0.4206471651
382	0.4206290075
383	0.4206086427
384	0.4205960207
385	0.4205480999
386	0.4205129288
387	0.4204617532
388	0.4204131166
389	0.4203876803
390	0.4203531143
391	0.4203159301
392	0.4202848034
393	0.4202369962
394	0.4201911608
395	0.4201761616
396	0.42017268
397	0.4201611873
398	0.4201035758
399	0.4200760196
400	0.4200563813
401	0.4200343531
402	0.4199988137
403	0.4199236445
404	0.4198903508
405	0.419880511
406	0.4198566268
407	0.4198364093
408	0.4197845215
409	0.4197640029
410	0.4197062308
411	0.4196841186
412	0.41964148
413	0.419622392
414	0.4195997749
415	0.4195704111
416	0.4195072057
417	0.4194616522
418	0.4194431343
419	0.4194253445
420	0.4193835678
421	0.4193706627
422	0.4193168925
423	0.4192737045
424	0.419221941
425	0.4191842821
426	0.4191409085
427	0.4190943681
428	0.419040994
429	0.4189933677
430	0.4189558358
431	0.4189143127
432	0.4188948916
433	0.418847769
434	0.4188284632
435	0.4187276922
436	0.418704543
437	0.4186752056
438	0.4186543443
439	0.418619764
440	0.4185853202
441	0.4185475858
442	0.418546505
443	0.418476375
444	0.4184457015
445	0.4184128092
446	0.4183967246
447	0.4183672255
448	0.4183288025
449	0.4183019673
450	0.4182828741
451	0.4182601704
452	0.4182403698
453	0.4182171152
454	0.4181971104
455	0.4181378025
456	0.4181042884
457	0.4180609714
458	0.4180455843
459	0.4179868931
460	0.4179684593
461	0.4179576765
462	0.4178922068
463	0.4178825408
464	0.4178650631
465	0.4178448063
466	0.4178384883
467	0.4178236728
468	0.4177962951
469	0.4177360143
470	0.417708836
471	0.4176982728
472	0.4176713175
473	0.4176270001
474	0.4175752944
475	0.4175444955
476	0.41752069
477	0.4174973074
478	0.4174823041
479	0.4174640629
480	0.4174536847
481	0.4173958753
482	0.4173644499
483	0.4173479416
484	0.4173140013
485	0.4173028496
486	0.4172563638
487	0.4172425794
488	0.417234559
489	0.4172029511
490	0.4171983945
491	0.417155293
492	0.4171444642
493	0.4171383377
494	0.4171187369
495	0.4170947895
496	0.4170788148
497	0.4170638708
498	0.4170627115
499	0.4170383219
500	0.4170302944
501	0.4170142608
502	0.4170132974
503	0.4169872191
504	0.4169830613
505	0.416968955
506	0.4169559059
507	0.4169413173
508	0.4169269007
509	0.4169048857
510	0.4168957771
511	0.4168605572
512	0.4168378973
513	0.4167941172
514	0.4167677936
515	0.4167297488
516	0.4167140223
517	0.4166848222
518	0.4166839508
519	0.4166652978
520	0.4166396027
521	0.4166306897
522	0.4165937504
523	0.4165705749
524	0.416556379
525	0.4165229253
526	0.4164936215
527	0.4164800139
528	0.4164614143
529	0.4164417853
530	0.4164253185
531	0.4164179649
532	0.4163966136
533	0.4163521675
534	0.4162938824
535	0.4162930562
536	0.4162880462
537	0.4162343025
538	0.4162252559
539	0.4162130964
540	0.4161929463
541	0.4161661688
542	0.4161467912
543	0.4160885658
544	0.4160665385
545	0.4160199959
546	0.4159900301
547	0.4159316815
548	0.4159178059
549	0.4158848496
550	0.4158222912
551	0.4158196832
552	0.4158044427
553	0.4158014848
554	0.4157249318
555	0.4156574982
556	0.4156174851
557	0.4155914672
558	0.4155739223
559	0.4155283759
560	0.4154777578
561	0.415426069
562	0.4154011585
563	0.4153929227
564	0.415380379
565	0.4153772094
566	0.4153433848
567	0.4153118075
568	0.4152896636
569	0.4152752147
570	0.4152427997
571	0.4152394182
572	0.4152366418
573	0.4152290273
574	0.4152157824
575	0.4151874127
576	0.4151521951
577	0.4151131543
578	0.4151083151
579	0.4150836187
580	0.4150741765
581	0.4150606374
582	0.415042681
583	0.4150312533
584	0.4149717948
585	0.4149454938
586	0.4149191167
587	0.4148875367
588	0.4148503748
589	0.4148462127
590	0.4148128974
591	0.4147702618
592	0.4147465864
593	0.4147272815
594	0.4146755444
595	0.4145995565
596	0.4145634044
597	0.4145576833
598	0.4145279021
599	0.4144924759
600	0.4144747941
601	0.4144692681
602	0.414449758
603	0.4144325889
604	0.4144135126
605	0.4143878875
606	0.4143486061
607	0.4143480711
608	0.4143427374
609	0.414304586
610	0.4142779302
611	0.4142626504
612	0.4142476893
613	0.4142337804
614	0.414225733
615	0.4142053503
616	0.4141919275
617	0.4141695425
618	0.4141602505
619	0.4141328948
620	0.4141008598
621	0.4140999282
622	0.4140762404
623	0.414074177
624	0.4140416991
625	0.4140375053
626	0.4140166957
627	0.4140039612
628	0.4139666851
629	0.4139209882
630	0.4139020682
631	0.4138825888
632	0.4138816784
633	0.4138486947
634	0.4138333529
635	0.4137825417
636	0.4137763928
637	0.4137678117
638	0.4137420785
639	0.4137376457
640	0.4137244753
641	0.413723733
642	0.4136808089
643	0.4136483458
644	0.4135980223
645	0.4135929081
646	0.4135484757
647	0.4135407936
648	0.4135293958
649	0.4134945262
650	0.4134771458
651	0.4134707449
652	0.413468157
653	0.4134621455
654	0.4134523575
655	0.4134337319
656	0.4134125093
657	0.4133837531
658	0.4133346161
659	0.4133258725
660	0.4133190281
661	0.4132968181
662	0.4132867668
663	0.413270542
664	0.413258352
665	0.4132483989
666	0.4132474342
667	0.4132203483
668	0.4132034098
669	0.4131864312
670	0.4131359203
671	0.4131225954
672	0.4131142006
673	0.4131002172
674	0.4130845107
675	0.4130836248
676	0.413045906
677	0.4130349003
678	0.4130329062
679	0.4130309622
680	0.4130117596
681	0.4130061322
682	0.412991247
683	0.4129878992
684	0.4129747705
685	0.4129704698
686	0.4129398979
687	0.4129207583
688	0.4129080193
689	0.4128804257
690	0.4128619594
691	0.4128369435
692	0.4127846038
693	0.4127702667
694	0.4127485961
695	0.4127165628
696	0.4127049882
697	0.4126942934
698	0.4126843202
699	0.4126760455
700	0.4126667074
701	0.4126239071
702	0.4126182238
703	0.4126105857
704	0.4125848185
705	0.4125847505
706	0.4125784942
707	0.4125377447
708	0.4124488868
709	0.4124081407
710	0.4123820739
711	0.4123671427
712	0.4123663916
713	0.4122962864
714	0.4122786981
715	0.4122675979
716	0.4122659408
717	0.4122310365
718	0.412173368
719	0.4121406859
720	0.4121027634
721	0.4121008546
722	0.4120674823
723	0.4120357107
724	0.4120248561
725	0.4119790813
726	0.4119631381
727	0.4119611879
728	0.4119351267
729	0.4119279045
730	0.4119081915
731	0.4118809251
732	0.4118681957
733	0.4118140694
734	0.4117315591
735	0.4116882338
736	0.4116804179
737	0.4116618536
738	0.4116560498
739	0.4116092703
740	0.4115489171
741	0.4115265929
742	0.4115220443
743	0.4114829105
744	0.4114574605
745	0.411450922
746	0.4113977024
747	0.4113754918
748	0.4113352962
749	0.4113177862
750	0.4113051133
751	0.4113042177
752	0.411242701
753	0.4112171034
754	0.4111983702
755	0.4111823664
756	0.4111619356
757	0.4111467845
758	0.4111178988
759	0.4111168731
760	0.4110900095
761	0.4110548975
762	0.4110419511
763	0.4110169493
764	0.4110024404
765	0.4109795649
766	0.4109639141
767	0.41087207
768	0.4108505976
769	0.4108503818
770	0.4107819064
771	0.4107790678
772	0.4107770979
773	0.4107521998
774	0.4107251478
775	0.4107217093
776	0.4107076115
777	0.4106998417
778	0.4106910058
779	0.4106691541
780	0.4106591693
781	0.4106184497
782	0.4106064711
783	0.4106018077
784	0.4106012855
785	0.4105825241
786	0.4105636131
787	0.4105635144
788	0.410563262
789	0.4105507876
790	0.4105254934
791	0.4105121102
792	0.4104670083
793	0.410449945
794	0.4104300237
795	0.4103742906
796	0.4103642308
797	0.410357787
798	0.4103488143
799	0.4103350711
800	0.4103346185
801	0.4103206853
802	0.4103161136
803	0.410293479
804	0.4102904766
805	0.4102824438
806	0.4102615802
807	0.4102509201
808	0.4102360044
809	0.4102334211
810	0.4102296998
811	0.4102048248
812	0.4101767859
813	0.4101641359
814	0.4101361966
815	0.4101176057
816	0.4101051952
817	0.4100987812
818	0.4100674299
819	0.4100624035
820	0.4100310694
821	0.409999888
822	0.4099903916
823	0.4099790197
824	0.4099687065
825	0.4099638125
826	0.4099248746
827	0.4099215405
828	0.4099113602
829	0.4098709446
830	0.4098488018
831	0.4098340757
832	0.4098020082
833	0.409757739
834	0.4097469019
835	0.4097258493
836	0.4097246846
837	0.4097127839
838	0.4096998891
839	0.4096966781
840	0.4096902373
841	0.4096396999
842	0.4096343006
843	0.4096211991
844	0.4095972771
845	0.4095565437
846	0.4095558573
847	0.4095415618
848	0.4095404628
849	0.4095273243
850	0.4095251525
851	0.4095247645
852	0.409512917
853	0.4094857979
854	0.4094566847
855	0.4094281296
856	0.4094097206
857	0.40940786
858	0.4093987162
859	0.4093871424
860	0.4093634479
861	0.4093226952
862	0.4093135095
863	0.4093087669
864	0.4093011313
865	0.4092930303
866	0.4092780554
867	0.4092674912
868	0.4092345831
869	0.4091978273
870	0.4091766649
871	0.4091361093
872	0.4091259675
873	0.4090665462
874	0.40904456
875	0.4090443855
876	0.4090244469
877	0.4090208047
878	0.4090124552
879	0.4089929027
880	0.4089834505
881	0.4089802278
882	0.4089742396
883	0.4089578918
884	0.4089460923
885	0.408913649
886	0.4089083613
887	0.4089067741
888	0.4088979509
889	0.408885442
890	0.4088500437
891	0.408810667
892	0.4088102864
893	0.4087991162
894	0.4087457513
895	0.4087289009
896	0.4087047438
897	0.4086892168
898	0.4086691208
899	0.4086580746
900	0.4086497363
901	0.4086111519
902	0.4086028494
903	0.4085630805
904	0.4085482124
905	0.4085399299
906	0.408501465
907	0.4084987952
908	0.4084436813
909	0.4084388855
910	0.4084387433
911	0.4084381657
912	0.4084028497
913	0.4083971386
914	0.4083736787
915	0.4083559374
916	0.40834605
917	0.4083381145
918	0.4083300843
919	0.4083277211
920	0.4083086993
921	0.4083077457
922	0.4083057741
923	0.40828274
924	0.4082478923
925	0.4082344683
926	0.4082312343
927	0.4082189043
928	0.4082119388
929	0.4082102344
930	0.4081962884
931	0.4081333947
932	0.4081169893
933	0.4081078744
934	0.4080845036
935	0.4080691626
936	0.4080654821
937	0.4080540495
938	0.4080151611
939	0.4080009634
940	0.4079798789
941	0.4079512693
942	0.4079497509
943	0.4079064995
944	0.407904255
945	0.4079034877
946	0.4078976613
947	0.4078852832
948	0.4078686849
949	0.407867076
950	0.4078391777
951	0.4078313806
952	0.4077769963
953	0.4077762131
954	0.407774577
955	0.4077441425
956	0.4076988031
957	0.4076852343
958	0.4076185081
959	0.4075799951
960	0.407551562
961	0.407546531
962	0.4075412696
963	0.4075200639
964	0.4075149183
965	0.4074963363
966	0.4074713792
967	0.4074490406
968	0.4074420333
969	0.4074252433
970	0.4074181104
971	0.4074137266
972	0.4073991207
973	0.4073973415
974	0.4073939662
975	0.4073708374
976	0.4073666338
977	0.4073463839
978	0.4073285883
979	0.4073159307
980	0.4073022036
981	0.4072967174
982	0.4072630313
983	0.4072606112
984	0.4072238803
985	0.4072033367
986	0.4071944106
987	0.4071785799
988	0.4071604381
989	0.407144819
990	0.4071286031
991	0.4071174003
992	0.4071161614
993	0.4071004761
994	0.407093516
995	0.4070461847
996	0.4070206895
997	0.4069366714
998	0.406906165
999	0.4068818062
